,Tiếng Việt,Kon Tum,Gia Lai,Bình Định
54,phía dưới,,,gah ala
55,gian,,,alah plach
56,gian dối,hơlĕnh,,alah plach
57,khôn,,,"gô lui, alăng"
58,khôn khéo,,,alăng
59,tỉnh táo,praih,,alăng
60,khôn ngoan,"jơnuaih, joaih",,alăng aluôh
61,rỗi,,,"uĕi ha, aleh"
62,rỗi rãi,,,aleh
63,biết,"lelĕ, lơlĕ","Băt, gơh","alễ, lê̆, alê̆, lễ"
64,biết,"lelĕ, lơlĕ","Băt, gơh","alễ, lê̆, alê̆, lễ"
65,sờ,,,aliêt
66,mắc,,,amăk
67,ngoắc vào,,,amăk
68,yêu quý,,,"amem bơnat, amem mơnat"
69,yêu quý,,,"amem bơnat, amem mơnat"
70,âu yĕm,,,"amem bơnat, amem mơnat"
71,âu yĕm,,,"amem bơnat, amem mơnat"
72,buồng,,"Cheng gân, Hơng lu`ng",amông
73,ớt,"hơmrĕ, bơhăng",,amrĕ
74,khó,"ap, anat, tơnap, kaih",,anat
75,họ tên,,,anăn măt
76,gào,,Grẽnh,angiêng
77,hét,tơkẽch,"Ôr, tơkẽch, hơdrãi","driêu, angiêng"
78,bình thường,,Lăp ai,anglŏ anglơi
79,bồ hóng,"tang kơmrang, hơngoi, hangoi",Angie`o,angŏi
80,giấu,,,anguôn
81,vang vọng,,Chơ chre ̆ng,"anhang, wêl wêl "
82,di chuyển,,,anhĭn
83,tập trung,,,anhôm
84,ru,,,"bơdô, bơđô, anhông"
85,ru,,,"bơdô, bơđô, anhông"
86,khoe,hơno,"jon, Pơ ư, pơ ang","anhơl, pơ-ang"
87,khoe,hơno,"jon, Pơ ư, pơ ang","anhơl, pơ-ang"
88,giục,,"Pơgẽnh, pơpuh",anhuk
89,ghẹo,,,"blăn, anhul"
90,trêu ghẹo,pơíik,,anhul
91,rủ,,,"anhŭk, hnhuk"
92,gánh,"anong, neng nong","anong, hôno`ng, Jơlõng",anong
93,khuya,,Kơmăng,anong măng
94,phía trước,,,anô̆
95,sau này,,,"anô̆ ană, tơmunh, anô̆ kơnh"
96,sau này,,,"anô̆ ană, tơmunh, anô̆ kơnh"
97,gói,"dơdrŭng, tơdrũng, top, gơxŏp, adrŭng, hơtop, kơxop, atop","Anu`ng, Atop",anung
98,gói,"dơdrŭng, tơdrũng, top, gơxŏp, adrŭng, hơtop, kơxop, atop","Anu`ng, Atop",anung
99,đùa,,Hơnul,anŭl
100,kì,,,apach
101,kì cọ,,Hơpẽch,apach
102,bay,,Păr,"păl , apăl, apal, pal"
103,bay,,Păr,"păl , apăl, apal, pal"
104,bay lượn,"axơ̆ng, dĭr tơdĭr, dĕr tơdĕr",,apăl asơl 
105,đòi,,"api`nh, Đô`, giơ","pinh , apinh, pinh"
106,đòi,,"api`nh, Đô`, giơ","pinh , apinh, pinh"
107,hỏi,jet,Jet,"pinh , apinh, pinh"
108,hỏi,jet,Jet,"pinh , apinh, pinh"
109,xin,apinh,,"pinh , apinh, pinh"
110,xin,apinh,,"pinh , apinh, pinh"
111,ăn xin,rah roi,,apinh sa 
112,mơ,,,"apo, tep hlơ̆k"
113,lây,"dôih, bơm",,apoh
114,đóm,,,apoih
115,đuốc,,Hơpaih,apoih
116,tròn,"ttfwil, apôm, dơwĭl",,apôm
117,dọn,hơmet,,apuih
118,quê,,,apung
119,quê hương,"chơgŏk, ar",,apung
120,còn,,,ară
121,vẫn,,,ară
122,vẫn còn,,,ară
123,lành,,Klaih,ară tôm
124,còn nguyên,"plơ̆ng dơ̆l, nhar, khơ khâu khơ khau",,ară tôm
125,ghét,areh,"Areh, Mơgrỉ, pơgrỉ, hơreh",areh
126,sống,"tơhngong , erih, gâu, arih, adrih",,arih
127,chưa chín,"kơmăp, gơmăp",,arih
128,tươi,,,arih
129,bừng,,,arônh
130,câu,ơxai,"Wah, Nơr pơma",asai
131,ngựa,"ơxeh, hơxeh",,aseh
132,thịt,nhăm,,asĕch
133,nghiêng nghiêng,,,asĕng asĕng
134,rúc ra rúc rích,,,asiu asău
135,chia,"ơxĕn, hơxong","Dỗ` song, axong",aong
136,đắp,,"Su, Bỡ","asu, athu"
137,ngỡ,,,atak
138,tưởng,ngih,,atak
139,đứng,dơ̆ng,Dâng,atau
140,lợp,"lĭm, păk",,atăk
141,đặt tên,"anăn, hơnăn",Et pơnăn,atăk măt
142,phồng,,,atăng
143,phú lên,,,athu
144,đắp,,"Su, Bỡ","asu, athu"
145,che,"dơ̆p, klŭ",,"athu, kơhning, chơhning"
146,che,"dơ̆p, klŭ",,"athu, kơhning, chơhning"
147,treo,"hơtol, atol",,"atol, hơmăk"
148,nòng,,,atŏng
149,giáp,,,atơ̆t
150,ma,,,atơ̆u
151,kết thúc,pơtôch,"pơ đĩ, tôch, Pơtồch",atuch
152,đang,,,atung
153,lớn lên,,,atung yung
154,áo,ao,,au
155,đưa,,Ăn,ăn
156,tặng,,,ăn
157,cho,ăn,,ăn
158,gió lạnh,,Kial tơngiẽt,ayuh
159,chúng ta,,,"bơ̆n, ba"
160,xuôi,,Hơdrôi,bah
161,ruộng,na,,bal
162,chạm vào,,,beh
163,béo,"pơngơi, rơmã",Bek,bek
164,mập,bek,,bek
165,phính má,,,bek bŏ
166,đi,"năm, bô̆k, brõk","Năm, yak, nơnăm","năm, kih, bĕ"
167,khoác,,,bĕng
168,đeo,doh,"đoh, B`ot, b`ăk, yeng","đoh, bot, bĕng"
169,vàng,,"Dreng - Pơkao cheng hluăn dreng., Maih - Anho ̆ ng ăn kơ oh kong maih.","maih, bia, brơ̆u, bak"
170,vàng,,"Dreng - Pơkao cheng hluăn dreng., Maih - Anho ̆ ng ăn kơ oh kong maih.","maih, bia, brơ̆u, bak"
171,cho vào,"pơmũt, tơmũt",,biêt
172,bỏ vào,"tah, tơ’lỡm ","tah, Hrok",biêt
173,cứ,"hri, dơdĭ, rai, tố",,"biêk, kư "
174,chúng mày,,,"bih, yem"
175,không,"hoh, bĭ",,bĭ
176,ăn cấm,,,bĭ ăn
177,rẻ,,,bĩ kơnă
178,xa lạ,,,bĭ lah boh
179,thiếu,phŭch,,bĭ mah
180,thiếu thốn,khot,,bĭ mah
181,không nổi,pă kĕ,,bĭ man
182,dở,,,"bĭ thê̆, đim keh"
183,không hay,,,bĭ thê̆
184,trệch,,,bĭ trŏ
185,sai,,,"hmăng, ploh, bĭ trŏ"
186,chán ăn,,,bĭ wă sa
187,khó chịu,,,bĭ yôk
188,cái,,"Pôm, tong, akăn, Iông","blah, hlak, pôm"
189,cái,,"Pôm, tong, akăn, Iông","blah, hlak, pôm"
190,chiếc,,"tong, Blah, pôm","blah, drŏng, hlak"
191,chiếc,,"tong, Blah, pôm","blah, drŏng, hlak"
192,tràn,,,"blai, tơprah"
193,trêu,,,blăn
194,ghẹo,,,"blăn, anhul"
195,bập bùng,"blêl hlĭp, gĭn găr, kơbling kơblông, rơlữk rơlăk",,bling bling
196,vuốt,,,"blŏch, kơniêh"
197,vuốt ve,rơmôih,"Hơbloch, dơbu ̆ng",blŏch
198,xoa tay,,,blŏch ti
199,đàn bơ lơng khơng,,,blơng khơng
200,đùi,"pơtâu, blu",Blu,blu
201,bắp đùi,,,blu
202,chui ra,,,bluh lêch
203,bước ra,,,bluh lêch
204,chui,chur,,"blung, mưt"
205,rộn ràng,,,blŭ blă
206,vượt,"blot, blâu","Hloh, hlôi",blŭng adrol
207,nải chuối,,,blưk pit
208,cầu,rơda,Gơng,"bor, sơmah, kung , kung"
209,cầu,rơda,Gơng,"bor, sơmah, kung , kung"
210,bó,,"Achô`, Pân, hơ chỗ","bŏ, chô̆, lơnguach"
211,cuốc,"nhik, pông, choh",,"bơ̆k, kuôk "
212,mầm,kơmơ̆ng,,bôp
213,bộ,,,bô̆
214,dê,"bơih, pơbe",,bơbê
215,cầu vồng,pơdrih,"pơda, Ple`nh chro",bơda
216,mống,,,bơda
217,xoay,băr gõ,,bơdal
218,xoay quanh,,,bơdal
219,coi khinh,,,bơdê
220,mỉa mai,,,bơdê
221,trả,,,"kla, bơdiêu"
222,buồn,pơblŏ,Sơ ngon,"dơblenh, bơdong, kơkŏch"
223,buồn rầu,"phiĕl, kơbau, chơlau",,"bơdư bơdong, bơdong"
224,so sánh,pơtêng,,bơdŏ năng
225,bẫy,hơkap,,"akap, bơdô"
226,ru,,,"bơdô, bơđô, anhông"
227,trốn,,,"bơdô̆, gơdơ̆u hli, pơdŏ"
228,trú mưa,,,bơdô̆ mi
229,nghỉ ngơi,"ning nơng, nơng nơt",,"bơdơĭ, pơdơi kah"
230,giàu,"pơdrŏng, bơdrŏng",,bơdrŏng
231,chống,,,"bơdrưng, long tŭl, bơdrăng"
232,chống,,,"bơdrưng, long tŭl, bơdrăng"
233,chống cự,,,"bơdrưng, bơdrăng"
234,chống cự,,,"bơdrưng, bơdrăng"
235,thỏ,ttfpai,,bơdung
236,thỏ,ttfpai,,bơdung
237,âu sầu,,,bơdư bơdong
238,buồn rầu,"phiĕl, kơbau, chơlau",,"bơdư bơdong, bơdong"
239,im,,Thẽng,bơdư
240,im lặng,"thẽng, rơheng","hreh, thẽng, Hrẽch thẽng, ngăn",bơdư sreh
241,dựng,,,bơdưng
242,cửa sông,bah,,bơgah krong
243,thuốc,"bơgang, pơgang",,bơgang
244,thuốc chữa bệnh,,,bơgang
245,ban mai,,B`rưch,bơgê 
246,buổi sáng,pơgê,,"bơgê , jơnang pơgê "
247,bình minh,,Anăr lẽch,bơgê 
248,sáng sớm,,,"bơgê sruôih , leng gong"
249,kiêu,,,bơgơm 
250,tự kiêu,,,bơgơm 
251,lễ đâm trâu,,,bơgrong sa kơpô 
252,ba na,,,bơhnar
253,hồn,,,bơhngol
254,rồi,"bơih, boih",,"bơih, boih"
255,rồi,"bơih, boih",,"bơih, boih"
256,từ chối,"tợịrak, pơjăn, bơjăh",,bơjan
257,bíu,,,bơjăng
258,bíu vào,,,bơjăng
259,ngà voi,"bơla, pơla","Bơla rôih, pơla rôih",bơla ruôih
260,chích chòe,,,bơlang kai
261,đảo,pơwỡt,Hơlỡ,"wơl, bơlau"
262,cảm,,Hơdrap,bơlŏ
263,cảm lạnh,,Hơdrap chẽp,bơlŏ lơngoh
264,ngu,,,bơluk
265,ngốc,,,bơluk
266,lẫn,,,bơlŭ bơlă
267,lẫn lộn,,,bơlŭ bơlă
268,mến,,,"mem bơnat, bơnat"
269,mến,,,"mem bơnat, bơnat"
270,thương,klưh,,"mem bơnat, bơnat"
271,thương,klưh,,"mem bơnat, bơnat"
272,thương mến,,,"mem bơnat, bơnat"
273,thương mến,,,"mem bơnat, bơnat"
274,đập nước,kơdơ̆p,,bơnăt đak
275,cảm ơn,,"Bơnễ, pơnê",bơne
276,khen ngợi,,Hôn,bơne
277,chúc,"thơthâu , tơthũi",,"adrơ̆i jul, bơne dih bơl"
278,chúc tụng,,,bơne dih bơl
279,hoan hô,jrao,Jrẽu,bơne tap ti
280,người,,,"bơngai, nu "
281,người lớn,,,bơngai grông
282,người trẻ,,,bơngai hơyoh
283,bệnh nhân,,,bơngai jĭ
284,người ốm,,,bơngai jĭ
285,người quen,,,bơngai juăt
286,người già,,,bơngai kră
287,người chủ,,,bơngai kră ŭnh
288,người lạ,,,bơngai kuê̆
289,xác chết,"hơtâu, kiĕk, atu, atâu",,bơnga1 luôch
290,thi hài,,,bơnga1 luôch
291,dũng sĩ,,,bơngai nưih sơhngơ̆m
292,thầy cúng,,,bơngai sơmah
293,nóc nhà,kôr,,bơ nuôi hnam
294,chúng ta,,,"bơ̆n, ba"
295,chặn,,,bơ̆t
296,ngăn,,,bơ̆t
297,đắp đập,,Bỡ bơnỡ,bơ̆t bơnăt đak
298,hoảng sợ,"kơkơ̆r, krê",Bral tơrơ,bral
299,khỏe khoắn,,,"jăng pran, breh grăng"
300,ánh sáng,"arang, ang",,"rơdah, brêng brang"
301,rừng,"tơ-õi, bri",,bri
302,nghĩa địa,,,bri atơ̆u
303,rừng rậm,bri xeh,,"bri hơmôl, bri anat"
304,rừng rậm,bri xeh,,"bri hơmôl, bri anat"
305,rừng núi,,,bri kông
306,rừng già,"bri kơđrơng, kơmrơ̆ng, kơdrơ̆ng, rơng",,bri kră 
307,hoa văn,dok,"rup pơro`, Tơbrônh, brâng",brưng gơleh 
308,ác,,,brư̆ 
309,dữ,,,"brư̆ , nưih"
310,bẩn,,"amể`, Kơmo`",brư̆ 
311,ố,,,brư̆ 
312,cằn,,,brư̆
313,cần cỗi,,,brư̆
314,xấu xí,,,brư̆ brich 
315,độc ác,,,brư̆ kơnĕ 
316,hung ác,,,brư̆ kơnĕ 
317,ai,bu,,bu 
318,vặt,,,buch 
319,nhổ,"gơxoh, kơxoh, büch",,buch 
320,đòng đòng,kơmuơ̆n,,bung 
321,vui,,Chơt,"bui , hyôk , pui"
322,vui vẻ,,"Chat hiôk, hơiă","bui , hyôk hiăn "
323,nhộn nhịp,,,"ring ring, bui nhông "
324,mủn,,,buk 
325,mục,bük,,buk 
326,ruỗng,,,buk 
327,vừa,"lăp, rah ...","lu ̆n, lăp, lăp ai, Blep, pah lăp",bươ
328,đê,,,bưt đak 
329,đê,,,bưt đak 
330,lúa,,,ba
331,thóc,hâu,,ba
332,bể,,"Bơng, Pơchah","kok, bak"
333,bể,,"Bơng, Pơchah","kok, bak"
334,trăng trắng,"tơmlông , kơmlŏng, kok kok",,bak bak
335,trắng bóc,,,bak kơmŏng
336,báo sĩ,,,bak si
337,hai,,,"bal, bar"
338,hai,,,"bal, bar"
339,bảo tàng,,,bau tang
340,cha,,,bă
341,bố,,B`a,bă
342,dượng,,,bă băn
343,cha mẹ,,,bă mĭ
344,bố nuôi,,B`ă rong,bă rong
345,bố chồng,,,bă tơnăi
346,bố vợ,,,bă tơnăi
347,bố dượng,,Ma,bă yăng
348,bắc,,"Chơng rơng, Bơbah",băk
349,bùa ngải,,,băng
350,hồ,,Dơnõu,bău
351,ao,,,bău
352,đường ăn,,,beng ngam
353,diệt,,,bet
354,giết,,Pơlôch,bet
355,đầy,"bĕnh, tơbưt, dơlŏl, lam","phăt, B`ẽnh",bĕnh
356,bánh,bănh,,bĕng
357,nằm,"chơbra, drum, bĭch",,bich
358,khéo,,Juen,biêh
359,khéo léo,,,"biêh, kheŭ"
360,ít,"tơxẽt, kơtuĕnh, kơtuei, tôxẽt, chral, tôxẽ","tõxẽ, Tõxe`t",biê̆
361,hiếm,khal,"Khăi, hui",biê̆
362,kém,chrôih,Hotu`k,"biê̆ loi, đim khơh"
363,ít hơn,,,biê̆ loi
364,rắn,bih,,bih
365,rắn nước,,,bih ka
366,bênh,,,bit
367,bênh vực,,,bit
368,sắn,,,"kumi , blang"
369,bỡn,,,blăn
370,đùa bỡn,,,blăn
371,nhấp nháy,"pheng glĭp, blĭl nhĭp, blĕt blĕt, blĕk nhĕp",,bling nhip
372,lóe sáng,,,blip
373,quệt,,,blŏch bom
374,nhớ,,,"băt, blŏk, lơnguô̆"
375,nhớ,,,"băt, blŏk, lơnguô̆"
376,thao thức,tơlơr ,,blŏk ling lang
377,hiện,,,boh
378,hiện ra,plŭk,,boh
379,thấy,"bôh, bơbôh",,boh
380,muối,boh,,"nhŭ, boh"
381,bắt chước,"axŭ, tông, boi",Rok,boi diong
382,ông,ih,,"kơwơng, bok"
383,bác sĩ,,,bok bơgang
384,thầy thuốc,,,bok bơgang
385,báo,,,"pơ-ang, bok kla kơđong"
386,báo,,,"pơ-ang, bok kla kơđong"
387,hổ,,,bok kla pơhum
388,hổ,,,bok kla pơhum
389,cụ ông,,,"bok ư, bok y"
390,cụ ông,,,"bok ư, bok y"
391,đụng,"tơbơm, tơtũl",,"tơjil, bom, beh"
392,đụng,"tơbơm, tơtũl",,"tơjil, bom, beh"
393,chạm,,Hơtu`t,"bom, beh"
394,chạm,,Hơtu`t,"bom, beh"
395,má,bŏ,,bŏ
396,thò tay,,,bot ti
397,đeo,doh,"đoh, B`ot, b`ăk, yeng","đoh, bot, bĕng"
398,mò,jrăm,,"amơt, bot"
399,mò,jrăm,,"amơt, bot"
400,bộ đội,,Li`nh,bô đôi
401,bện,"hơtok, hơto","kơxe`nh, Amonh","bônh, tơsĕnh"
402,bờ,"daih, keng, jaih, kơmŭch",,bơ
403,miệng,"ngah, bơr",,"bơ̆r, bơ̆l"
404,miệng,"ngah, bơr",,"bơ̆r, bơ̆l"
405,mồm,,,"bơ̆r, bơ̆l"
406,mồm,,,"bơ̆r, bơ̆l"
407,tiếng nói,,,"bơ̆r, bơ̆l pơma, nơ̆r, bơ̆l"
408,tiếng nói,,,"bơ̆r, bơ̆l pơma, nơ̆r, bơ̆l"
409,tiếng nói,,,"bơ̆r, bơ̆l pơma, nơ̆r, bơ̆l"
410,ngôn ngữ,,,"bơ̆r, nơ̆r, bơ̆l"
411,ngôn ngữ,,,"bơ̆r, nơ̆r, bơ̆l"
412,ngôn ngữ,,,"bơ̆r, nơ̆r, bơ̆l"
413,tiếng kêu,,,bơ̆I angiêng
414,tiếng Ba na,,,bơ̆i Bơhnar
415,tính,,,bơ̆l đon
416,tính tình,,,bơ̆l đon
417,lời chào,,,bơ̆l kơkuh
418,tiếng gọi,,,bơ̆l krau
419,tiếng khóc,,,bơ̆l nhĩm
420,trò chuyện,tơrong,,bơ̆l pơđam
421,giọng nói,,,bơ̆l pơma
422,tiếng nói,,,"bơ̆r, bơ̆l pơma, nơ̆r, bơ̆l"
423,uốn,,,bơ̆t
424,nắn,,Pe ̆t,bơ̆t
425,gầm sàn,,,brôm
426,sặc sỡ,prôt prat,,brông brang
427,hại,,,"brơh, glaĭ "
428,hãm hại,,,brơh
429,vàng,,"Dreng - Pơkao cheng hluăn dreng., Maih - Anho ̆ ng ăn kơ oh kong maih.","maih, bia, brơ̆u, bak"
430,màu vàng,dreng,,brơ̆u
431,vàng khè,dreng drưt,,brơ̆u brơt
432,xấu,kơne,"Kơ nê ̆, chư",brữ
433,xấu xa,,,brữ kơnĕ
434,nung,,,buh
435,nướng,buh,,buh
436,thiêu,,,buh
437,thui,,,buh
438,đốt,,"Soh - Anhồng lăm soh muih pơm mir., Sôch - Sut sôch lăm ti Inh., Păng - Along kram òu lơ păng dêh.","buh, soh"
439,bùi nhùi,"kơxôm, dơxôm, gơxôm",Pôi tơmui,bui nhui
440,men,,,buih
441,củ,bum,,bum
442,củ mài,,,bum bri
443,khoai lang,,B`um dăng,bunh bơ̆k
444,đơn giản,,Yôk yak,bum ngu
445,buổi,,,"buôi, jơnang "
446,chôn,,,bŭ
447,vùi,,"kơlâp, Bu ̆",bŭ
448,lấp,kơlơ̆p,Bu ̆,bŭ
449,rung rinh,,,bưp bưp
450,vùng đó,,,chai
451,bận,hăt,"ưh w ăn, Oe`i tơhlăk","chang, jang , jang"
452,bận,hăt,"ưh w ăn, Oe`i tơhlăk","chang, jang , jang"
453,chào,hmach,"hmach, Kơ kuh",chau 
454,kiếm,"khă, dao",,chă 
455,tìm,chơchă,,chă 
456,chạy chữa,,Tơđon,chă hming 
457,Sục sạo,,,chă jơluk jơlăk 
458,soát,,,chă ruih 
459,tìm hiểu,,,chă wă alê̆ 
460,chẻ,chăr,,"chăI , pah"
461,Chăm Hroi,,,chăm Hroi 
462,kệ,"hơda pŏk, gơdĕng, kơdĕng, dra pŏk",,chăng
463,mặc kệ,huăi,,chăng
464,chén,bơnhan,Pơnhan,chen 
465,li,,,chen 
466,khoét,cheo,Bõk,cheu 
467,ngoáy,,,cheu 
468,dùi,"liu, hliu",,cheu 
469,dẫn,,,chĕp 
470,dắt,,,"chĕp , chiêm"
471,bưng,"pŏng, dêk",,chĕp 
472,xách,,,chĕp 
473,bê,,Kon rơmo ie`,"chĕp , lơmo kon"
474,nhấc,,,chĕp tơnhơi 
475,nhấc lên,,,chĕp tơnhơi 
476,chê,,Pơchê,chê 
477,khăn,,Kơn,chê 
478,vải,che,,chê 
479,chèn,,Klong,chiêm 
480,chêm,,Klong,chiêm 
481,cài,kuaih,"Ke`p, đăk","chiêm, tơhlông"
482,gài,năk,,chiêm
483,dắt,,,"chĕp , chiêm"
484,chiếu,"akok, hơkok, chră","Hơkok, Pơdah","sră, chiêu , jơdră "
485,chiếu,"akok, hơkok, chră","Hơkok, Pơdah","sră, chiêu , jơdră "
486,chiếu phim,,Pơdah phim,chiêŭ 
487,viết,chih,Chih,chih
488,xăm mình,"khŏng mŏn, chơ̆m",,chih akău
489,chiêng,"chêng, gong",,ching
490,mổ,,,"rŏch, choh"
491,rình,,,chop
492,rón rén,"tơduang, tơđuơng",,chop
493,nở,"cheh, blar, deh",,chôh
494,chèo,,"huỡr, Wỡr",chông
495,bó,,"Achô`, Pân, hơ chỗ","bŏ, chô̆, lơnguach"
496,bó,,"Achô`, Pân, hơ chỗ","bŏ, chô̆, lơnguach"
497,buộc,,,"lơnguach, chô̆"
498,buộc,,,"lơnguach, chô̆"
499,trói,,,"lơnguach, chô̆"
500,trói,,,"lơnguach, chô̆"
501,chở,chơ,,chơ
502,gần sáng,,,chơdah
503,nóc nhà rông,,,chơdŏng hnam wal
504,gang tay,hơda,Sơđa,chơđa
505,nứt nẻ,"hơdăng, tơchăr, tơhak, chăr, tơbrỗ, cheh re",,chơđah chơđang
506,tấm,"blah, kơmŏk, bơlah, hŭm, pơhlah, lang",,"blah, chơđeh, pơlah"
507,tấm,"blah, kơmŏk, bơlah, hŭm, pơhlah, lang",,"blah, chơđeh, pơlah"
508,mảnh,acheh,,"blah, chơđeh"
509,mảnh,acheh,,"blah, chơđeh"
510,miếng,"kơlat, hlak",,"blah, chơđeh"
511,miếng,"kơlat, hlak",,"blah, chơđeh"
512,bẫy lớn,,,chơđong
513,mịt mùng,,,chơhleng chơhlot
514,hầm,rơyă,Sơlu`ng,"riê̆, chơhlung"
515,hố,"hơlŭng, hơtu",,chơhlung
516,chắn,,"găn, Bỡ",chơhning
517,che,"dơ̆p, klŭ",,"athu, kơhning, chơhning"
518,rạ,,,chơhnong
519,hứa,tơchỡt,Pơkă,chơkăt bơ̆l
520,thề,,,chơkăt bơ̆l
521,lợn rừng,,,chơke
522,gắp,,,chơkep
523,chái nhà,"tang gơlang, ôp",,chơkŭp hnam
524,nhận,,,"yŏk, chơmuk"
525,nhấn xuống,,,chơmuk
526,thúng,,,chơneh
527,vê,,,chơnĕch
528,vân vê,,,chơnĕch
529,nhúm,,,chơnŭp
530,dúm,,,chơnŭp
531,íới,,,chơnglôk chơnglak
532,nhăn nheo,kơchŏng,,chơnhot chơnhat
533,cầy,,,chơpik
534,chồn,"pơja, bơja",,chơpik
535,quét,"kuan, hơpuih",,chơpuih
536,chợ,kơchơ,,chơ̆
537,sáo,,,"tơliĕ, chơrau"
538,chim sáo,chreo,,chơrau
539,rạch,"grek, grech",,chrĕk
540,lo,,Hiâk,"chro, phĭ"
541,lo toan,,,chro đi
542,nghĩ,,,chro đon
543,ỉa chảy,,Chroh,chroh
544,tưới,chruih,,chruh đak
545,trung thu,,,chruh kơ̆i đe hơyoh
546,ăn tết,,,"chruh kơ̆r, chruh kơ̆l"
547,ăn tết,,,"chruh kơ̆r, chruh kơ̆l"
548,chủ nhật,,,chu nhơ̆t
549,vôi,,Chu ̆r,"chul, sra"
550,vôi,,Chu ̆r,"chul, sra"
551,chùa,,,chuô
552,cát,"chuơh, chuah, choah",,chuôh
553,vồ,chŭp,Chu ̆p,chup
554,chồm lên,,,chup
555,nhóm lửa,,,chŭt ŭnh
556,chữ,chư,,chư
557,luôn,"ling, hloi, chơhnoi",,"dach, lơh"
558,thường xuyên,"anheh, anheh anhang",,"lah, dach"
559,dịu,,,dal
560,xung quanh,,"năm dru ̆t, Ju ̆ m dar, năm kơdih, tăp dăr","dal wang, rok jih, tăp dal"
561,bỗng,,,dang
562,chừng,bơblĕnh,,dang noh
563,mức,,,dang noh
564,cười,nă,,dĕk
565,tươi cười,,,dĕk chơt
566,rất,"ră, ngây, bơgă, jat, pơgră",,dêh
567,lắm,,Dêh - Sư pơma dêh.,"dêh, adrin, tơpă"
568,mạnh,,,"dêh, pran"
569,chắc,"akâu, tiỡng","gẽi, Rõ lăng, Kơjãp",diê
570,mẩy,,,diê
571,mong muốn,,,dih plơh
572,mái nhà,,,dih hnam
573,theo,"tơrơng, tiơ, tơtiỡ, rưng rơnga, tờchrôi, kiơ, kiă",,"diong, tê̆i, thoi, tiê̆"
574,của,dih,,dĭ
575,cứu,dŏng,,dŏng
576,april,,,"thô̆ pŭn, e, dôm"
577,mấy,,,dôm yơ
578,bao nhiêu,"hơdôm, dôm yơ",,"dôm yơ, dôm"
579,bao nhiêu,"hơdôm, dôm yơ",,"dôm yơ, dôm"
580,bấy nhiêu,,,dôm ơ̆i
581,gạt,gat,,dơbeh
582,phiền muộn,,,dơblenh
583,buồn,pơblŏ,Sơ ngon,"dơblenh, bơdong, kơkŏch"
584,chĩa,,"Pơdo`, tơhlo`u",dơbŏng
585,chỉ vào,,,dơbŏng
